time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451850000	7.10232	20.244	5.25287	3.51012	0.4197	radar	0.241336	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.83905	20.1584	5.29542	3.52228	0.407442	lidar	0.0921617	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.60394	20.0701	5.24046	3.53655	0.39352	radar	0.573892	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.36969	19.9743	5.22314	3.5552	0.392857	lidar	0.102654	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.14898	19.8819	5.19024	3.57506	0.397841	radar	3.05238	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.88973	19.7861	5.24166	3.58308	0.381361	lidar	0.18522	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.64079	19.6433	5.38117	3.62077	0.426	radar	1.64124	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.51161	19.5085	5.1385	3.67383	0.474175	lidar	2.46284	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.31239	19.3591	5.11517	3.71074	0.495041	radar	1.86674	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.11274	19.2542	5.06244	3.72695	0.486038	lidar	1.9986	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94084	19.1403	4.8695	3.74472	0.465267	radar	4.62567	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.80121	18.9886	4.75353	3.79111	0.500281	lidar	0.605315	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.58754	18.838	4.89314	3.81478	0.507726	radar	1.62689	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.41713	18.7061	4.83646	3.83882	0.508205	lidar	1.01349	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
